HPSN_MCT_ZCD_NM,총업체수,폐업수,폐업률(%)
구내식당/푸드코트,2,1,50.0
와인샵,4,1,25.0
중식-훠궈/마라탕,5,1,20.0
수산물,7,1,14.29
일식-샤브샤브,7,1,14.29
도시락,8,1,12.5
식품 제조,19,2,10.53
와인바,30,3,10.0
샌드위치/토스트,35,3,8.57
일식-우동/소바/라면,12,1,8.33
기타세계요리,12,1,8.33
한식-단품요리일반,306,18,5.88
치킨,139,7,5.04
떡/한과 제조,23,1,4.35
분식,140,6,4.29
한식-해물/생선,121,5,4.13
베이커리,146,6,4.11
양식,176,7,3.98
피자,51,2,3.92
일식당,135,5,3.7
카페,357,12,3.36
햄버거,31,1,3.23
동남아/인도음식,32,1,3.12
중식당,99,3,3.03
커피전문점,182,5,2.75
식료품,158,4,2.53
요리주점,80,2,2.5
한식-육류/고기,442,11,2.49
축산물,285,7,2.46
포장마차,42,1,2.38
일반 유흥주점,45,1,2.22
한식-국밥/설렁탕,60,1,1.67
아이스크림/빙수,61,1,1.64
호프/맥주,84,1,1.19
백반/가정식,346,3,0.87
꼬치구이,14,0,0.0
농산물,59,0,0.0
건강원,9,0,0.0
건어물,2,0,0.0
건강식품,12,0,0.0
기사식당,1,0,0.0
담배,10,0,0.0
일식-덮밥/돈가스,34,0,0.0
일식-참치회,6,0,0.0
인삼제품,12,0,0.0
유제품,1,0,0.0
와플/크로플,1,0,0.0
이자카야,37,0,0.0
스테이크,1,0,0.0
미곡상,10,0,0.0
마카롱,3,0,0.0
룸살롱/단란주점,22,0,0.0
떡/한과,5,0,0.0
도너츠,5,0,0.0
반찬,22,0,0.0
민속주점,2,0,0.0
일식-초밥/롤,7,0,0.0
테이크아웃커피,2,0,0.0
테마카페,2,0,0.0
탕후루,1,0,0.0
청과물,27,0,0.0
주스,3,0,0.0
주류,15,0,0.0
중식-딤섬/중식만두,2,0,0.0
차,4,0,0.0
한식-두부요리,1,0,0.0
한식-냉면,17,0,0.0
한식-국수/만두,64,0,0.0
한식-감자탕,13,0,0.0
한식-찌개/전골,48,0,0.0
한식-죽,9,0,0.0
한정식,4,0,0.0
한식뷔페,16,0,0.0
